Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
46,2.0,0.0,0.0,1010.0,6.0,87.0,5703.0,0.0,2681.3028550032323,0.0,0.0,1275.113757133484,,,,,,,,,,,,,,,,,,,,,1369.5958574049944,166.0647804052643,1571.9077207604134,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,1159.0,7.0,149.0,5852.0,0.0,4183.092320572638,0.0,0.0,1289.964058637619,,,,,,,,,,,,,,,,,,,,,1593.9630424093577,268.58014898115636,1929.7282026620796,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,1185.0,8.0,26.0,5878.0,0.0,1394.7439479668878,0.0,0.0,1292.7518973350525,,,,,,,,,,,,,,,,,,,,,1094.8582810326002,39.93775141384272,1132.6199315359775,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,1315.0,9.0,130.0,6008.0,0.0,3711.9553066840485,0.0,0.0,1306.442764043808,,,,,,,,,,,,,,,,,,,,,1547.0309849938897,230.0991360170433,1804.3339733047394,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1357.0,10.0,42.0,6050.0,0.0,1683.3367929116598,0.0,0.0,1310.9698553085327,,,,,,,,,,,,,,,,,,,,,1152.2011699183906,66.91761078977609,1223.7652296152792,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1494.0,11.0,137.0,6187.0,0.0,3639.3151631212627,0.0,0.0,1324.8113059997559,,,,,,,,,,,,,,,,,,,,,1463.343025436357,204.50579657876622,1708.3159808842345,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1563.0,12.0,69.0,6256.0,0.0,2121.1809232168225,0.0,0.0,1331.7612900733948,,,,,,,,,,,,,,,,,,,,,1214.6917053924128,102.73635930112837,1317.7407261116377,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1664.0,13.0,101.0,6357.0,0.0,2698.323229230231,0.0,0.0,1341.8929421901703,,,,,,,,,,,,,,,,,,,,,1310.1237860940507,123.72974516003318,1422.3586449415566,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1701.0,14.0,37.0,6394.0,0.0,1650.0652326033721,0.0,0.0,1345.9282133579254,,,,,,,,,,,,,,,,,,,,,1153.7630063207473,75.75460899097172,1248.0082851389602,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1747.0,15.0,46.0,6440.0,0.0,1665.1729354388285,0.0,0.0,1350.6038126945496,,,,,,,,,,,,,,,,,,,,,1120.917343123443,59.319878918121496,1193.4406842065382,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
