Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
46,2.0,0.0,0.0,288.0,6.0,42.0,1526.0,0.1,23.00500000000002,0.0,0.0,284.5574743747711,,,,,,,,,,,,,,,,,,,,,7.105632910073855,6.924992505066937,20.427134147300254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,339.0,7.0,51.0,1577.0,0.1,29.504000000000012,0.0,0.0,289.702054977417,,,,,,,,,,,,,,,,,,,,,10.442389309225092,7.721585452873324,24.669300532899896,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,448.0,8.0,109.0,1686.0,0.1,63.10699999999999,0.0,0.0,299.6264569759369,,,,,,,,,,,,,,,,,,,,,22.46514047090181,12.562601156122648,39.40413925795019,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,516.0,9.0,68.0,1754.0,0.1,46.105999999999995,0.0,0.0,306.23341155052185,,,,,,,,,,,,,,,,,,,,,15.974970183645151,11.555831753652749,35.95859634233372,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,553.0,10.0,37.0,1791.0,0.1,24.505000000000013,0.0,0.0,309.96686482429504,,,,,,,,,,,,,,,,,,,,,8.490449353324912,7.641007393747299,21.79730000945799,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,586.0,11.0,33.0,1824.0,0.1,18.30400000000001,0.0,0.0,313.3994610309601,,,,,,,,,,,,,,,,,,,,,6.953055039796882,5.34817632671445,16.334549369316427,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,616.0,12.0,30.0,1854.0,0.1,17.604000000000013,0.0,0.0,316.67486238479614,,,,,,,,,,,,,,,,,,,,,5.835658690161511,5.6958928628718715,16.175188647027387,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,668.0,13.0,52.0,1906.0,0.1,23.405000000000015,0.0,0.0,321.96791219711304,,,,,,,,,,,,,,,,,,,,,7.551246644253452,5.622775602050154,19.87384118456096,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,704.0,14.0,36.0,1942.0,0.1,20.505000000000013,0.0,0.0,325.655633687973,,,,,,,,,,,,,,,,,,,,,7.083120789877967,6.115625831430974,18.31963729787158,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,753.0,15.0,49.0,1991.0,0.1,29.505000000000013,0.0,0.0,330.5671651363373,,,,,,,,,,,,,,,,,,,,,10.133182347935607,8.024593879948156,25.037996785543868,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
